Experiment Name,Plate Name,Record Date,$OP,GUID,Well Name,PLATE ID,All Events Parent Name,All Events #Events,All Events %Parent,All Events %Grand Parent,All Events %Total,All Events mCherry-A Mean,All Events mCherry-A Median,All Events mCherry-A SD,All Events CFP-A Mean,All Events CFP-A Median,All Events CFP-A SD,P3 Parent Name,P3 #Events,P3 %Parent,P3 %Grand Parent,P3 %Total,P3 mCherry-A Mean,P3 mCherry-A Median,P3 mCherry-A SD,P3 CFP-A Mean,P3 CFP-A Median,P3 CFP-A SD,P4 Parent Name,P4 #Events,P4 %Parent,P4 %Grand Parent,P4 %Total,P4 mCherry-A Mean,P4 mCherry-A Median,P4 mCherry-A SD,P4 CFP-A Mean,P4 CFP-A Median,P4 CFP-A SD
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:30:40 PM",Administrator ,759fa4d5-6cc9-4dca-be0e-5e3c1f57eaef ,A1,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20124,,,,18028,9388,26835,7220,2398,11709,All Events,8263,41.1,,41.1,24,19,57,14454,10525,12312,All Events,11226,55.8,,55.8,31855,22990,28003,1685,879,3300
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:30:51 PM",Administrator ,72dfd65a-58d8-4be2-83fe-97ae265e2c40 ,A2,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,20459,12845,28251,6388,1571,10798,All Events,7387,36.9,,36.9,23,20,64,14281,10374,12098,All Events,11978,59.9,,59.9,33430,25130,28027,1407,804,2846
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:31:02 PM",Administrator ,8134c8db-6d87-4262-8d4e-796db590a1f6 ,A3,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,20903,12316,29778,6611,1754,10936,All Events,7581,37.9,,37.9,27,21,56,14483,10711,12237,All Events,11892,59.5,,59.5,34342,24859,30009,1528,826,3254
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:31:13 PM",Administrator ,f4cf64db-96c3-4167-8cba-e63ca683e8fe ,A4,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,20138,11532,29809,6794,1806,11360,All Events,7878,39.4,,39.4,22,18,58,14356,10449,12315,All Events,11564,57.8,,57.8,33746,24455,29935,1474,791,3244
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:31:25 PM",Administrator ,0160ec0e-55c1-45d4-b4cd-b4dc63b351a4 ,A5,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,20310,11307,29587,7066,2099,11554,All Events,7867,39.3,,39.3,15,17,72,14554,10649,12210,All Events,11390,57.0,,57.0,35137,25707,30621,1644,873,3362
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:31:36 PM",Administrator ,0d2233d1-6006-46da-a599-2e603fe57c9d ,A6,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,19100,10313,28479,6939,2055,10991,All Events,8377,41.9,,41.9,24,19,54,14027,10226,11847,All Events,11055,55.3,,55.3,33771,24872,29110,1505,808,3289
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:31:47 PM",Administrator ,02c2a852-277a-497f-b5f4-0635975c48f6 ,A7,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,19760,10742,29655,7201,2096,11393,All Events,8382,41.9,,41.9,25,21,61,14530,10505,12164,All Events,11067,55.3,,55.3,35172,25325,31065,1523,813,3213
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:31:58 PM",Administrator ,cd908fb4-3fdf-4e41-8bea-53463da977c3 ,A8,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,19610,11560,27970,6824,1880,11175,All Events,8039,40.2,,40.2,26,22,62,14235,10369,12073,All Events,11443,57.2,,57.2,33693,25161,28301,1483,802,3221
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:32:10 PM",Administrator ,1e0f05e3-88c8-4c77-acef-9f8deef9dced ,A9,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,18745,8780,29067,7358,2328,11819,All Events,8402,42.0,,42.0,20,19,68,14270,10575,12144,All Events,10585,52.9,,52.9,34505,25351,29745,1615,846,3511
MoBY_references,PL1_complex_day01,"Mar 13, 2018 2:32:20 PM",Administrator ,97e27981-424e-4a6b-b956-763402b69461 ,A10,0b4f1dd3-3c6c-4284-8560-92766ec255ed,,20000,,,,18153,8930,28025,7195,2320,11192,All Events,8710,43.6,,43.6,24,20,58,14025,10329,11893,All Events,10536,52.7,,52.7,33717,24725,29009,1546,786,3683
