gene.names,gene.id,s.coeff.nominal,s.coeff.nacl,z.score.nominal,z.score.nacl
YFL039C,ACT1,-0.229155465,-0.127297997,-86.2523410217878,-35.8753764909507
YFL037W,TUB2,-0.132701685,-0.090013308,-49.9697282688249,-25.3626877689735
YLR196W,PWP1,-0.11107988,-0.042469863,-41.8363448199328,-11.957468322046
YPL211W,NIP7,-0.108011064,-0.045866349,-40.6819612121769,-12.9151322056459
YER021W,RPN3,-0.106780515,-0.03219285,-40.2190707703451,-9.05978990341387
YPR169W,JIP5,-0.102338098,-0.053809168,-38.5479854515719,-15.1546676815086
YCL052C,PBN1,-0.091705764,-0.046765434,-34.5484650887394,-13.1686357480678
YJR006W,POL31,-0.089487039,-0.039725678,-33.7138566371026,-11.1837254406043
YNL308C,KRI1,-0.087513697,-0.044820152,-32.971552876533,-12.620149366903
YKL049C,CSE4,-0.08582716,-0.057363353,-32.337135346556,-16.156795942933
YGL112C,TAF6,-0.082057788,-0.016497836,-30.9192265347099,-4.63446677227353
YKR038C,KAE1,-0.0724634,-0.02792428,-27.3101459532576,-7.85623560534878
YML085C,TUB1,-0.069743682,-0.058919604,-26.2870810719097,-16.5955922095792
YLR008C,PAM18,-0.055413049,-0.065398953,-20.8963871287191,-18.422491695265
YPL151C,PRP46,-0.054111354,-0.183517777,-20.4067339952964,-51.7269515747079
YBR265W,TSC10,-0.051495975,-0.008877361,-19.4229178767448,-2.48581852718266
YLR051C,FCF2,-0.047454363,-0.053515108,-17.9026016890979,-15.0717553298571
YKL021C,MAK11,-0.047181479,-0.05485896,-17.7999520625257,-15.4506641565984
YJR072C,NPA3,-0.044489844,-0.086149527,-16.787451045175,-24.273266667918
YPL228W,CET1,-0.042808995,-0.066231668,-16.1551731462351,-18.6572817343913
YMR061W,RNA14,-0.042526531,NA,-16.0489198513549,NA
YDR238C,SEC26,-0.040540295,NA,-15.3017658090354,NA
YOR151C,RPB2,-0.039411768,-0.031358768,-14.8772525538549,-8.82461442871421
YBR080C,SEC18,-0.03846128,-0.099802457,-14.5197114805,-28.1228093912848
YKL012W,PRP40,-0.0336746,-0.048055132,-12.7191261969336,-13.5322754613924
YEL034W,HYP2,-0.032163464,-0.010322079,-12.1506885234172,-2.8931672548343
YKL082C,RRP14,-0.032001283,-0.039515957,-12.0896815787554,-11.1245930822397
YER133W,GLC7,-0.031552806,0.013625655,-11.9209798718901,3.85907018876377
YOR204W,DED1,-0.031240066,-0.006763317,-11.803337781426,-1.88974847503435
YEL035C,UTR5,-0.030469218,-0.005890289,-11.5133711313331,-1.64359189291641
YJL076W,NET1,-0.029176806,-0.027079711,-11.0272099449775,-7.61810324487149
YLR163C,MAS1,-0.029046807,-0.047787046,-10.9783087679031,-13.4566866675924
YMR309C,NIP1,-0.027904883,-0.018768356,-10.5487560195783,-5.27465636851835
YPL255W,BBP1,-0.026476249,-0.020008326,-10.0113527764113,-5.62427491125556
YJR046W,TAH11,-0.026121475,-0.031627347,-9.87789893295575,-8.90034222744306
YJR045C,SSC1,-0.025880515,-0.033598203,-9.78725802319613,-9.45603938355561
YDR082W,STN1,-0.02583676,-0.027096693,-9.77079888887288,-7.62289144304787
YLR166C,SEC10,-0.02576899,-0.055562235,-9.74530613300298,-15.648957648089
YER165W,PAB1,-0.024948889,-0.013514911,-9.43681218905058,-3.79340941476134
YMR013C,SEC59,-0.024139409,-0.032549815,-9.13231350199789,-9.16043877645772
YML064C,TEM1,-0.023565615,-0.037057793,-8.91647182630645,-10.4314958980424
YPR104C,FHL1,-0.023266794,-0.01142677,-8.80406558753123,-3.20464290149907
YDR468C,TLG1,-0.022122314,-0.013927966,-8.37355135943658,-3.90987327047585
YLR397C,AFG2,-0.021519446,-0.03227916,-8.14677303944587,-9.08412563445869
YDR288W,NSE3,-0.021416081,-0.013106487,-8.10789066213303,-3.67825130311436
YBL023C,MCM2,-0.021079536,-0.004283427,-7.98129394493909,-1.19052548742289
YER013W,PRP22,-0.021076919,0.009112801,-7.98030951905579,2.58663824358301
YDL055C,PSA1,-0.020978756,-0.009724977,-7.94338395620414,-2.72481001142884
YGL245W,GUS1,-0.020084003,-0.010296956,-7.60680848338647,-2.88608364261047
YML025C,YML6,-0.019656879,-0.025703818,-7.44613904472376,-7.23016022558689
YPR016C,TIF6,-0.018525032,-0.003010443,-7.02037691910667,-0.831598407729205
YOR340C,RPA43,-0.018447214,-0.000474252,-6.99110444933711,-0.116500944465397
YJL125C,GCD14,-0.018447031,-0.048687404,-6.99103561099678,-13.7105491416053
YLR229C,CDC42,-0.018140875,0.000134587,-6.87587019612142,0.0551656312917415
YNL006W,LST8,-0.017607232,0.028421627,-6.67513195323111,8.03090190164435
YPR137W,RRP9,-0.017493497,0.005706587,-6.63234873663287,1.62623147976527
YOR060C,SLD7,-0.017273021,-0.008346037,-6.54941320700073,-2.33600786837534
YPL143W,RPL33A,-0.016859483,-0.008382645,-6.39385435681741,-2.34632975972152
YBL041W,PRE7,-0.016699683,0.013992652,-6.33374306291142,3.96254765703229
YDR054C,CDC34,-0.016494694,-0.009508261,-6.25663321293336,-2.66370536203584
YDR390C,UBA2,-0.016187847,-0.009083734,-6.14120786749424,-2.54400689264336
YBR070C,ALG14,-0.016169245,-0.013160458,-6.13421043139137,-3.69346881835269
YPR103W,PRE2,-0.015799922,-0.018430787,-5.99528375179662,-5.17947633847467
YER172C,BRR2,-0.015300337,-0.012441891,-5.80735696352364,-3.4908636364539
