"pic";"comp";"array";"bait";"prey";"dup";"Col_1536";"Row_1536";"dip";"mtx1";"dmso1";"mD4";"dD4"
220;"Full Length";1;"ADH1pr_Sce";"ADH1pr_Sce";"control";9;"BC";0;0;1;1;1
220;"Full Length";1;"ADH1pr_Sce";"ADH1pr_Sce";"control";18;"AZ";1;0;1;1;1
220;"Full Length";1;"ADH1pr_Sce";"ADH1pr_Sce";"control";21;"AJ";0;1;1;1;1
220;"Full Length";1;"ADH1pr_Sce";"ADH1pr_Sce";"control";30;"AG";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"PRE2";23;"BC";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"PRE2";27;"AT";1;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"PRE2";34;"AZ";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"PRE2";44;"AU";1;1;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"PRE5";11;"AN";0;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"PRE5";15;"AC";0;1;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"PRE5";16;"AS";1;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"PRE5";30;"AZ";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"PRE7";23;"AD";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"PRE7";27;"AI";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"PRE7";30;"BB";1;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"PRE7";44;"AS";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPA43";8;"BB";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPA43";10;"AC";0;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPA43";17;"AI";0;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPA43";35;"AR";1;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPC37";15;"AF";0;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPC37";27;"AK";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPC37";38;"AM";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPC37";44;"AV";1;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPC37";3;"AM";1;1;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPC37";26;"AD";1;1;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPC37";27;"AP";1;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPC37";34;"AU";1;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPN12";12;"AI";0;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPN12";26;"AX";1;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPN12";29;"AP";1;1;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPN12";41;"AO";1;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPN3";15;"BC";1;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPN3";34;"AK";0;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPN3";34;"AP";1;1;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"RPN3";37;"AR";1;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPN3";16;"AZ";0;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPN3";26;"AI";1;1;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPN3";33;"AG";1;1;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"RPN3";39;"AD";1;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"TFG2";5;"AP";0;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"TFG2";20;"AS";1;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"TFG2";37;"AI";1;0;1;1;1
220;"Full Length";1;"CY1pr_Sce";"CY1pr_Sce";"TFG2";40;"AD";1;1;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"TFG2";5;"AM";0;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"TFG2";34;"AN";1;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"TFG2";35;"AZ";1;0;1;1;1
220;"Full Length";1;"CYC1pr_Skud";"CYC1pr_Skud";"TFG2";42;"AW";1;1;1;1;1
